Move|Yes
Turn|Yes
Stop|Yes
Drive|Yes
Walk|No|Robots cannot do this action with only 4 basic wheels
Run|No|Robots cannot do this action with only 4 basic wheels
Sprint|No|Robots cannot do this action with only 4 basic wheels
Jog|No|Robots cannot do this action with only 4 basic wheels
Crawl|No|Robots cannot do this action with only 4 basic wheels
Jump|No|Robots cannot do this action with only 4 basic wheels
Hop|No|Robots cannot do this action with only 4 basic wheels
Skip|No|Robots cannot do this action with only 4 basic wheels
Leap|No|Robots cannot do this action with only 4 basic wheels
Gallop|No|Robots cannot do this action with only 4 basic wheels
Slide|No|Robots cannot do this action with only 4 basic wheels
Glide|No|Robots cannot do this action with only 4 basic wheels
Climb|No|Robots cannot do this action with only 4 basic wheels
Descend|No|Robots cannot do this action with only 4 basic wheels
March|No|Robots cannot do this action with only 4 basic wheels
Stroll|No|Robots cannot do this action with only 4 basic wheels
Hike|No|Robots cannot do this action with only 4 basic wheels
Tiptoe|No|Robots cannot do this action with only 4 basic wheels
Shuffle|No|Robots cannot do this action with only 4 basic wheels
Stride|No|Robots cannot do this action with only 4 basic wheels
Waddle|No|Robots cannot do this action with only 4 basic wheels
Limp|No|Robots cannot do this action with only 4 basic wheels
Swivel|No|Robots cannot do this action with only 4 basic wheels
Sway|No|Robots cannot do this action with only 4 basic wheels
Swoop|No|Robots cannot do this action with only 4 basic wheels
Barrel-roll|No|Robots cannot do this action with only 4 basic wheels
Prowl|No|Robots cannot do this action with only 4 basic wheels
Float|No|Robots cannot do this action with only 4 basic wheels
Saunter|No|Robots cannot do this action with only 4 basic wheels
Amble|No|Robots cannot do this action with only 4 basic wheels
Zigzag|No|Robots cannot do this action with only 4 basic wheels
Circle|Yes
Pirouette|No|Robots cannot do this action with only 4 basic wheels
Spin|Yes
Roll|Yes
Cartwheel|No|Robots cannot do this action with only 4 basic wheels
Tumble|No|Robots cannot do this action with only 4 basic wheels
Skate|No|Robots cannot do this action with only 4 basic wheels
Wriggle|No|Robots cannot do this action with only 4 basic wheels
Spiral|No|Robots cannot do this action with only 4 basic wheels
